study_id,report_pmid,arm,site,grafted,timepoint_months,n,mean_mbl,sd_mbl,nominal_length_mm,diameter_mm,platform_level,collar_height_mm,endosseous_length_mm,measured_from,flags
W2005148312,25692556,short,mixed,ungrafted,36,30,2.34,0.54,6.0,4.1,tissue,1.8,6,"Distance from the implant shoulder (IS) to the first mesial/distal radiographic bone-to-implant contact, measured with a magnifying gradient index lens (x10); standardized intraoral radiographs with individualized templates. TS = time of surgery (implant placement) treated as the earliest baseline; the paper also separately reports 'loss in relation to previous period' deltas (Table 3) and explicitly isolates the placement-to-prosthesis-delivery (TS->T0) resorption as distinct from the functional-loading period (T0->T5). Sign convention: all values are positive/increasing bone-level distances = progressive bone loss; no negative-value convention used, no bone gain reported at either arm at any timepoint in Table 3.",
W2005148312,25692556,long,mixed,ungrafted,36,30,2.59,0.56,10.0,4.1,tissue,1.8,10,"Distance from the implant shoulder (IS) to the first mesial/distal radiographic bone-to-implant contact, measured with a magnifying gradient index lens (x10); standardized intraoral radiographs with individualized templates. TS = time of surgery (implant placement) treated as the earliest baseline; the paper also separately reports 'loss in relation to previous period' deltas (Table 3) and explicitly isolates the placement-to-prosthesis-delivery (TS->T0) resorption as distinct from the functional-loading period (T0->T5). Sign convention: all values are positive/increasing bone-level distances = progressive bone loss; no negative-value convention used, no bone gain reported at either arm at any timepoint in Table 3.",
W2005148312,25692556,short,mixed,ungrafted,48,30,2.33,0.55,6.0,4.1,tissue,1.8,6,"Distance from the implant shoulder (IS) to the first mesial/distal radiographic bone-to-implant contact, measured with a magnifying gradient index lens (x10); standardized intraoral radiographs with individualized templates. TS = time of surgery (implant placement) treated as the earliest baseline; the paper also separately reports 'loss in relation to previous period' deltas (Table 3) and explicitly isolates the placement-to-prosthesis-delivery (TS->T0) resorption as distinct from the functional-loading period (T0->T5). Sign convention: all values are positive/increasing bone-level distances = progressive bone loss; no negative-value convention used, no bone gain reported at either arm at any timepoint in Table 3.",
W2005148312,25692556,long,mixed,ungrafted,48,30,2.64,0.57,10.0,4.1,tissue,1.8,10,"Distance from the implant shoulder (IS) to the first mesial/distal radiographic bone-to-implant contact, measured with a magnifying gradient index lens (x10); standardized intraoral radiographs with individualized templates. TS = time of surgery (implant placement) treated as the earliest baseline; the paper also separately reports 'loss in relation to previous period' deltas (Table 3) and explicitly isolates the placement-to-prosthesis-delivery (TS->T0) resorption as distinct from the functional-loading period (T0->T5). Sign convention: all values are positive/increasing bone-level distances = progressive bone loss; no negative-value convention used, no bone gain reported at either arm at any timepoint in Table 3.",
W2005148312,25692556,short,mixed,ungrafted,60,30,2.30,0.52,6.0,4.1,tissue,1.8,6,"Distance from the implant shoulder (IS) to the first mesial/distal radiographic bone-to-implant contact, measured with a magnifying gradient index lens (x10); standardized intraoral radiographs with individualized templates. TS = time of surgery (implant placement) treated as the earliest baseline; the paper also separately reports 'loss in relation to previous period' deltas (Table 3) and explicitly isolates the placement-to-prosthesis-delivery (TS->T0) resorption as distinct from the functional-loading period (T0->T5). Sign convention: all values are positive/increasing bone-level distances = progressive bone loss; no negative-value convention used, no bone gain reported at either arm at any timepoint in Table 3.",
W2005148312,25692556,long,mixed,ungrafted,60,30,2.64,0.56,10.0,4.1,tissue,1.8,10,"Distance from the implant shoulder (IS) to the first mesial/distal radiographic bone-to-implant contact, measured with a magnifying gradient index lens (x10); standardized intraoral radiographs with individualized templates. TS = time of surgery (implant placement) treated as the earliest baseline; the paper also separately reports 'loss in relation to previous period' deltas (Table 3) and explicitly isolates the placement-to-prosthesis-delivery (TS->T0) resorption as distinct from the functional-loading period (T0->T5). Sign convention: all values are positive/increasing bone-level distances = progressive bone loss; no negative-value convention used, no bone gain reported at either arm at any timepoint in Table 3.",
W2170085085,23413769,short,mixed,ungrafted,12,53,0.71,0.23,"6.5 / 7.5 / 8.5 mm (mixed, not split by jaw; see Table 1 p.51 for overall length distribution)","3.75-5 mm (mixed, mostly 4mm; see Table 1 p.51)",bone,0,,bone level at the time of provisional prosthesis placement (baseline),
W2170085085,23413769,short,maxilla,ungrafted,12,26,0.69,0.24,"6.5 / 7.5 / 8.5 mm (mixed; jaw-specific length breakdown not reported, only overall in Table 1 p.51)",3.75-5 mm (mixed; jaw-specific breakdown not reported),bone,0,,bone level at the time of provisional prosthesis placement (baseline),
W2170085085,23413769,short,mandible,ungrafted,12,27,0.73,0.23,"6.5 / 7.5 / 8.5 mm (mixed; jaw-specific length breakdown not reported, only overall in Table 1 p.51)",3.75-5 mm (mixed; jaw-specific breakdown not reported),bone,0,,bone level at the time of provisional prosthesis placement (baseline),
W2896165594,30307129,short,mandible,ungrafted,0,10,0.28,0.26,4.0,4.1,tissue,1.8,4,"MBL determined as distance from implant shoulder to most coronal point of bone-to-implant contact on mesial/distal side; measured at implant placement (IP), delivery of definitive prostheses (PP/loading), and 1-year thereafter (FU-1); ""changes in MBL were calculated from IP to PP and from IP to FU-1"" (Methods 2.5, p.999). This row = IP-to-PP (""at loading"") change.",
W2896165594,30307129,long,mandible,grafted,0,10,0.15,0.53,8 or 10 (mostly 8mm; see quote),4.1,tissue,1.8,,"MBL determined as distance from implant shoulder to most coronal point of bone-to-implant contact on mesial/distal side; measured at implant placement (IP), delivery of definitive prostheses (PP/loading), and 1-year thereafter (FU-1); ""changes in MBL were calculated from IP to PP and from IP to FU-1"" (Methods 2.5, p.999). This row = IP-to-PP (""at loading"") change.",
W2896165594,30307129,short,mandible,ungrafted,12,10,0.30,0.34,4.0,4.1,tissue,1.8,4,"MBL determined as distance from implant shoulder to most coronal point of bone-to-implant contact on mesial/distal side; measured at implant placement (IP), delivery of definitive prostheses (PP/loading), and 1-year thereafter (FU-1); ""changes in MBL were calculated from IP to PP and from IP to FU-1"" (Methods 2.5, p.999). This row = IP-to-FU-1 (""1-year after loading"") change.",
W2896165594,30307129,long,mandible,grafted,12,10,0.47,0.54,8 or 10 (mostly 8mm; see quote),4.1,tissue,1.8,,"MBL determined as distance from implant shoulder to most coronal point of bone-to-implant contact on mesial/distal side; measured at implant placement (IP), delivery of definitive prostheses (PP/loading), and 1-year thereafter (FU-1); ""changes in MBL were calculated from IP to PP and from IP to FU-1"" (Methods 2.5, p.999). This row = IP-to-FU-1 (""1-year after loading"") change.",
W3024572837,32406660,short,mixed,grafted,38,62,0.35,0.24,5 and 6 (mixed; paper does not split extra-short into 5mm vs 6mm subgroups in results),"5 and 6 mixed (~48 implants 5mm-diam + ~14 6mm-diam per Fig 7, not exact)",bone,0,,"implant placement (radiographic baseline calibrated at day of implant surgery per VixWin Platinum software; periapical radiograph, mesial+distal measurements averaged)",
W3024572837,32406660,mid,mixed,ungrafted,38,15,0.25,0.17,6.5,"mostly 5mm-diam (~14), few 6mm-diam (~1) per Fig 7, not exact",bone,0,6.5,"implant placement (radiographic baseline calibrated at day of implant surgery per VixWin Platinum software; periapical radiograph, mesial+distal measurements averaged)",
W3024572837,32406660,long,mixed,ungrafted,38,69,0.92,0.26,>=10 (exact standard lengths beyond the >=10mm threshold not reported),"4mm-diam (~41) or 5mm-diam (~28) per Fig 7, not exact; ALL 4mm-diameter standard implants were NOT platform-switched",bone,0,,"implant placement (radiographic baseline calibrated at day of implant surgery per VixWin Platinum software; periapical radiograph, mesial+distal measurements averaged)",
W3178976371,34268630,short,maxilla,ungrafted,7,20,0.32,0.15,6.0,4.2,bone,0,6,"Peri-implant marginal bone loss (PIMBL) estimated by linear measurements on digital periapical radiographs (ImageJ, National Institute of Mental Health, Bethesda). Distance from implant-abutment connection to the most coronal bone-to-implant contact, measured mesially and distally parallel to the implant long axis. Three examination points: implant placement (IP), 'baseline' (~6-7 months later at definitive-crown delivery), and 1 year after functional implant loading. Sign convention: all reported deltas are positive values representing bone loss (increasing distance over time); no negative/gain values reported, no explicit sign-convention statement beyond this.",
W3178976371,34268630,long,maxilla,grafted,7,17,0.25,0.12,13.0,4.2,bone,0,13,"Peri-implant marginal bone loss (PIMBL) estimated by linear measurements on digital periapical radiographs (ImageJ, National Institute of Mental Health, Bethesda). Distance from implant-abutment connection to the most coronal bone-to-implant contact, measured mesially and distally parallel to the implant long axis. Three examination points: implant placement (IP), 'baseline' (~6-7 months later at definitive-crown delivery), and 1 year after functional implant loading. Sign convention: all reported deltas are positive values representing bone loss (increasing distance over time); no negative/gain values reported, no explicit sign-convention statement beyond this.",
W3178976371,34268630,short,maxilla,ungrafted,12,20,0.28,0.17,6.0,4.2,bone,0,6,"Peri-implant marginal bone loss (PIMBL) estimated by linear measurements on digital periapical radiographs (ImageJ, National Institute of Mental Health, Bethesda). Distance from implant-abutment connection to the most coronal bone-to-implant contact, measured mesially and distally parallel to the implant long axis. Three examination points: implant placement (IP), 'baseline' (~6-7 months later at definitive-crown delivery), and 1 year after functional implant loading. Sign convention: all reported deltas are positive values representing bone loss (increasing distance over time); no negative/gain values reported, no explicit sign-convention statement beyond this.",
W3178976371,34268630,long,maxilla,grafted,12,17,0.26,0.14,13.0,4.2,bone,0,13,"Peri-implant marginal bone loss (PIMBL) estimated by linear measurements on digital periapical radiographs (ImageJ, National Institute of Mental Health, Bethesda). Distance from implant-abutment connection to the most coronal bone-to-implant contact, measured mesially and distally parallel to the implant long axis. Three examination points: implant placement (IP), 'baseline' (~6-7 months later at definitive-crown delivery), and 1 year after functional implant loading. Sign convention: all reported deltas are positive values representing bone loss (increasing distance over time); no negative/gain values reported, no explicit sign-convention statement beyond this.",
W3178976371,34268630,short,maxilla,ungrafted,19,20,0.60,0.17,6.0,4.2,bone,0,6,"Peri-implant marginal bone loss (PIMBL) estimated by linear measurements on digital periapical radiographs (ImageJ, National Institute of Mental Health, Bethesda). Distance from implant-abutment connection to the most coronal bone-to-implant contact, measured mesially and distally parallel to the implant long axis. Three examination points: implant placement (IP), 'baseline' (~6-7 months later at definitive-crown delivery), and 1 year after functional implant loading. Sign convention: all reported deltas are positive values representing bone loss (increasing distance over time); no negative/gain values reported, no explicit sign-convention statement beyond this.",
W3178976371,34268630,long,maxilla,grafted,19,17,0.51,0.14,13.0,4.2,bone,0,13,"Peri-implant marginal bone loss (PIMBL) estimated by linear measurements on digital periapical radiographs (ImageJ, National Institute of Mental Health, Bethesda). Distance from implant-abutment connection to the most coronal bone-to-implant contact, measured mesially and distally parallel to the implant long axis. Three examination points: implant placement (IP), 'baseline' (~6-7 months later at definitive-crown delivery), and 1 year after functional implant loading. Sign convention: all reported deltas are positive values representing bone loss (increasing distance over time); no negative/gain values reported, no explicit sign-convention statement beyond this.",
W2895578297,30429964,short,mixed,ungrafted,0,58,0.02,0.05,6.0,not reported,bone,1.5,6,"Reference points = most coronal margin of implant collar to most coronal point of bone-to-implant contact (Image J 1.42, calibrated to known implant diameter); periapical radiographs, paralleling technique. Timepoints as printed: at implant placement, and 12/24 months AFTER LOADING (loading occurred 3 months after placement, so these are NOT 12/24 months post-placement) - recorded here as 0/12/24 per the paper's own labelling, with this offset flagged.",
W2895578297,30429964,long,mixed,ungrafted,0,47,0.03,0.06,10.0,not reported,bone,1.5,10,"Reference points = most coronal margin of implant collar to most coronal point of bone-to-implant contact (Image J 1.42, calibrated to known implant diameter); periapical radiographs, paralleling technique. Timepoints as printed: at implant placement, and 12/24 months AFTER LOADING (loading occurred 3 months after placement, so these are NOT 12/24 months post-placement) - recorded here as 0/12/24 per the paper's own labelling, with this offset flagged.",
W2895578297,30429964,short,mixed,ungrafted,12,58,0.36,0.31,6.0,not reported,bone,1.5,6,"Reference points = most coronal margin of implant collar to most coronal point of bone-to-implant contact (Image J 1.42, calibrated to known implant diameter); periapical radiographs, paralleling technique. Timepoints as printed: at implant placement, and 12/24 months AFTER LOADING (loading occurred 3 months after placement, so these are NOT 12/24 months post-placement) - recorded here as 0/12/24 per the paper's own labelling, with this offset flagged.",
W2895578297,30429964,long,mixed,ungrafted,12,47,0.34,0.35,10.0,not reported,bone,1.5,10,"Reference points = most coronal margin of implant collar to most coronal point of bone-to-implant contact (Image J 1.42, calibrated to known implant diameter); periapical radiographs, paralleling technique. Timepoints as printed: at implant placement, and 12/24 months AFTER LOADING (loading occurred 3 months after placement, so these are NOT 12/24 months post-placement) - recorded here as 0/12/24 per the paper's own labelling, with this offset flagged.",
W2895578297,30429964,short,mixed,ungrafted,24,58,0.41,0.38,6.0,not reported,bone,1.5,6,"Reference points = most coronal margin of implant collar to most coronal point of bone-to-implant contact (Image J 1.42, calibrated to known implant diameter); periapical radiographs, paralleling technique. Timepoints as printed: at implant placement, and 12/24 months AFTER LOADING (loading occurred 3 months after placement, so these are NOT 12/24 months post-placement) - recorded here as 0/12/24 per the paper's own labelling, with this offset flagged.",
W2895578297,30429964,long,mixed,ungrafted,24,47,0.46,0.41,10.0,not reported,bone,1.5,10,"Reference points = most coronal margin of implant collar to most coronal point of bone-to-implant contact (Image J 1.42, calibrated to known implant diameter); periapical radiographs, paralleling technique. Timepoints as printed: at implant placement, and 12/24 months AFTER LOADING (loading occurred 3 months after placement, so these are NOT 12/24 months post-placement) - recorded here as 0/12/24 per the paper's own labelling, with this offset flagged.",
W3175776636,34248151,short,maxilla,grafted,60,30,-0.33,0.11,"5 and 6mm (mixed: 5x6mm n=13, 5x5mm n=7, 6x5mm n=7, 6x6mm n=3, diameter x length as printed)","5 and 6mm (see nominal_length_mm - reported only as diameter x length pairs, not separable)",bone,0,,"Maximum mesial/distal distance from implant-abutment junction (IAJ) to marginal bone, digital periapical radiographs (Dentsply Sirona software), calibrated using implant length as control. SIGN CONVENTION explicitly stated by authors: POSITIVE value = bone level CORONAL to/over the IAJ; NEGATIVE value = bone level APICAL to/below the IAJ; ZERO = bone level exactly at IAJ. 'Baseline' = 1 MONTH after prosthetic loading (NOT at implant placement; loading itself occurred ~6-6.5 months after implant placement, so this 'baseline' is roughly 7-7.5 months post-placement). Final follow-up = 'five years' (60 months) - clock-start (from placement, or from loading) is not disambiguated in the text.",
esposito-5mm-augmented-3y5y,20467603,long,mandible,ungrafted,4,30,,,10.4,4.0,bone,0,10.4,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,20467603,short,mandible,ungrafted,4,26,,,5.0,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,20467603,long,maxilla,ungrafted,4,38,,,12.4,4.0,bone,0,12.4,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,20467603,short,maxilla,ungrafted,4,34,,,5.0,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,21594216,long,mixed,ungrafted,-4,,0.32,0.17,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,21594216,long,mixed,ungrafted,0,,0.56,0.18,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,21594216,long,mixed,ungrafted,12,,1.48,0.5,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,21594216,short,mixed,ungrafted,-4,,0.33,0.21,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,21594216,short,mixed,ungrafted,0,,0.55,0.23,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,21594216,short,mixed,ungrafted,12,,1.3,0.57,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,short,mandible,ungrafted,-4,15,0.34,0.17,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,short,mandible,ungrafted,0,15,0.65,0.21,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,short,mandible,ungrafted,12,15,1.54,0.53,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,short,mandible,ungrafted,36,13,1.79,0.51,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,long,mandible,ungrafted,-4,15,0.33,0.2,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,long,mandible,ungrafted,0,15,0.55,0.22,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,long,mandible,ungrafted,12,15,1.53,0.54,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,long,mandible,ungrafted,36,14,1.97,0.57,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,short,maxilla,ungrafted,-4,15,0.31,0.25,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,short,maxilla,ungrafted,0,15,0.46,0.21,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,short,maxilla,ungrafted,12,15,1.06,0.52,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,short,maxilla,ungrafted,36,13,1.36,0.53,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,long,maxilla,ungrafted,-4,15,0.3,0.14,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,long,maxilla,ungrafted,0,15,0.58,0.13,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,long,maxilla,ungrafted,12,15,1.43,0.47,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,long,maxilla,ungrafted,36,14,1.74,0.37,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,short,mixed,ungrafted,-4,30,0.33,0.21,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,short,mixed,ungrafted,0,30,0.55,0.23,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,short,mixed,ungrafted,12,30,1.3,0.57,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,short,mixed,ungrafted,36,26,1.57,0.55,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,long,mixed,ungrafted,-4,30,0.32,0.17,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,long,mixed,ungrafted,0,30,0.55,0.23,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,long,mixed,ungrafted,12,30,1.3,0.57,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,long,mixed,ungrafted,12,30,1.48,0.5,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,25422826,long,mixed,ungrafted,36,26,1.87,0.5,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
esposito-5mm-augmented-3y5y,31116186,short,mandible,ungrafted,60,,1.72,0.510,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique","derived-borrowed(from 36m, same trial/arm)"
esposito-5mm-augmented-3y5y,31116186,long,mandible,ungrafted,60,,2.1,0.570,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique","derived-borrowed(from 36m, same trial/arm)"
esposito-5mm-augmented-3y5y,31116186,short,maxilla,ungrafted,60,,1.31,0.530,5,6.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique","derived-borrowed(from 36m, same trial/arm)"
esposito-5mm-augmented-3y5y,31116186,long,maxilla,ungrafted,60,,1.79,0.370,10,6.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique","derived-borrowed(from 36m, same trial/arm)"
hadzik-wroclaw,30104560,long,maxilla,ungrafted,36,15,0.22,0.46,"11 and 13 (mixed: 10x L11, 5x L13)",4,bone,0,,"CBCT (Galileos D3437) + RVG periapical, before surgery (T0) vs 36 months (T2); reference point/calibration method not explicitly detailed in this report (contrast with 7-yr report which specifies implant-neck reference, 4-pt M/D/B/P mean)",
hadzik-wroclaw,30104560,short,maxilla,ungrafted,36,14,0.34,0.24,6,4,bone,0,6,"CBCT + RVG periapical, before surgery (T0) vs 36 months (T2)",
hadzik-wroclaw,29862269,long,maxilla,ungrafted,36,15,0.22,0.46,"11 and 13 (mixed, same cohort as 30104560)",4,bone,0,,"CBCT+RVG, T0 defined here as 'immediately after implant placement' (T0) vs 36 months (T1) - NOTE: differs in wording from 30104560's T0='before surgery'; 4-point M/D/B/P CBCT + mesial/distal periapical mean, calibrated to known implant length",
hadzik-wroclaw,29862269,short,maxilla,ungrafted,36,15,0.34,0.24,6,4,bone,0,6,"CBCT+RVG, T0='immediately after implant placement' vs 36 months (T1); 4-point mean",
hadzik-wroclaw,33804340,long,maxilla,ungrafted,84,15,0.53,0.75,"11 and 13 (mixed, same cohort)",4,bone,0,,"CBCT (Galileos D3437) + periapical (Visualix eHD); implant neck/platform taken as reference (implants placed at bone level, level 0 = initial value); 4-point (M/D/B/P) CBCT mean, calibrated to known implant length",
hadzik-wroclaw,33804340,long,maxilla,ungrafted,84,15,0.52,0.750,"11 and 13 (mixed, same cohort)",4,bone,0,,same as above,"derived-borrowed(from 84m, same trial/arm)"
hadzik-wroclaw,33804340,short,maxilla,ungrafted,84,13,0.50,0.35,6,4,bone,0,6,"CBCT+periapical, implant-neck reference, 4-point mean",
hadzik-wroclaw,33804340,short,maxilla,ungrafted,36,,,,,,,,,,
hadzik-wroclaw,33804340,short,maxilla,ungrafted,36,,,,,,,,,,
astra-6v11-fdp,22938573,short,mixed,ungrafted,12,86,-0.06,0.27,6,4.0,bone,0,6,loading,
astra-6v11-fdp,22938573,long,mixed,ungrafted,12,92,-0.02,0.60,11,4.0,bone,0,11,loading,
astra-6v11-fdp,30003598,short,mixed,ungrafted,36,,-0.04,0.43,6,4.0,bone,0,6,loading,
astra-6v11-fdp,30003598,long,mixed,ungrafted,36,,0.02,0.76,11,4.0,bone,0,11,loading,
astra-6v11-fdp,33025645,short,mixed,ungrafted,60,94,0.01,0.45,6,4.0,bone,0,6,loading,
astra-6v11-fdp,33025645,long,mixed,ungrafted,60,80,-0.12,0.93,11,4.0,bone,0,11,loading,
thoma-6v11-SFE,28081288,short,maxilla,ungrafted,0,60,0.03,0.15,6,4.0,bone,0,6,surgery,
thoma-6v11-SFE,28081288,long,maxilla,ungrafted,0,58,0.06,0.20,11-15,4.0,bone,0,,surgery,
thoma-6v11-SFE,28081288,short,maxilla,ungrafted,0,55,0.30,0.45,6,4.0,bone,0,6,prosthesis,
thoma-6v11-SFE,28081288,long,maxilla,ungrafted,0,56,0.27,0.45,11-15,4.0,bone,0,,prosthesis,
thoma-6v11-SFE,28081288,short,maxilla,ungrafted,36,58,0.44,0.44,6,4.0,bone,0,6,loading,
thoma-6v11-SFE,28081288,long,maxilla,ungrafted,36,63,0.45,0.55,11-15,4.0,bone,0,,loading,
thoma-6v11-SFE,30341961,short,maxilla,ungrafted,0,55,0.30,0.45,6,4.0,bone,0,6,prosthesis,
thoma-6v11-SFE,30341961,long,maxilla,ungrafted,0,56,0.27,0.45,11-15,4.0,bone,0,,prosthesis,
thoma-6v11-SFE,30341961,short,maxilla,ungrafted,60,53,0.45,0.79,6,4.0,bone,0,6,loading,
thoma-6v11-SFE,30341961,long,maxilla,ungrafted,60,62,0.45,0.91,11-15,4.0,bone,0,,loading,
thoma-6v11-SFE,38296249,short,maxilla,ungrafted,120,48,,,6,4.0,bone,0,6,loading,
thoma-6v11-SFE,38296249,long,maxilla,ungrafted,120,57,,,11-15,4.0,bone,0,,loading,
thoma-6v11-SFE,26425812,short,maxilla,ungrafted,,,,,,,,,,,
thoma-6v11-SFE,26425812,long,maxilla,ungrafted,,,,,,,,,,,
romeo-storelli-6v10,25422825,short,mixed,ungrafted,12,24,0.18,0.32,6.0,4.1,tissue,2.8,6,"MBL = 'the difference between the distance of the implant shoulder and the first bone-to-implant contact point at two time points' (p.375), mesial+distal averaged, calibrated per-implant to known implant length; baseline radiograph = moment of prosthesis delivery (8 weeks after implant insertion), NOT day of implant placement (p.375, 379); patient is unit of analysis",
romeo-storelli-6v10,25422825,long,mixed,ungrafted,12,28,0.04,0.24,10.0,4.1,tissue,2.8,10,"MBL = 'the difference between the distance of the implant shoulder and the first bone-to-implant contact point at two time points' (p.375), mesial+distal averaged, calibrated per-implant to known implant length; baseline radiograph = moment of prosthesis delivery (8 weeks after implant insertion), NOT day of implant placement (p.375, 379); patient is unit of analysis",
romeo-storelli-6v10,25422825,short,mixed,ungrafted,60,21,0.43,0.34,6.0,4.1,tissue,2.8,6,MBL = 'the difference between the distance of the implant shoulder and the first bone-to-implant contact point at two time points' (p.375); baseline radiograph = moment of prosthesis delivery (8 weeks after implant insertion); patient is unit of analysis,
romeo-storelli-6v10,25422825,long,mixed,ungrafted,60,19,0.24,0.45,10.0,4.1,tissue,2.8,10,MBL = 'the difference between the distance of the implant shoulder and the first bone-to-implant contact point at two time points' (p.375); baseline radiograph = moment of prosthesis delivery (8 weeks after implant insertion); patient is unit of analysis,
romeo-storelli-6v10,30246182,short,mixed,ungrafted,120,,0.84,0.88,6.0,,,,6,"MBL change from prosthesis delivery to 10 years, patient-level (per 5-yr report methodology, inherited - not restated in abstract)","sd-from-SR(Lin L, Ren Y, Zhu E, Wang X, Yao Q. Ten-year outcomes of sho)"
romeo-storelli-6v10,30246182,long,mixed,ungrafted,120,,0.37,0.57,10.0,,,,10,"MBL change from prosthesis delivery to 10 years, patient-level (per 5-yr report methodology, inherited - not restated in abstract)","sd-from-SR(Lin L, Ren Y, Zhu E, Wang X, Yao Q. Ten-year outcomes of sho)"
